Lot ID,Warehouse,Model,Item #,Item Description,Qty,Unit Retail,Unit Weight,Condition,Category,Seller Category
SD5333D,ABERDEEN,EI24BC15VS,IP44800006,Built-in Under Counter Beverage Center,1,1779.00,125,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Beverage Cooler
SD5333D,ABERDEEN,EI24MO45IB,9G02100207,BI Fully-integrated Microwave,1,949.00,46,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-in Microwave
SD5333D,ABERDEEN,EI24MO45IB,9G02100245,BI Fully-integrated Microwave,1,949.00,46,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-in Microwave
SD5333D,ABERDEEN,EI24MO45IB,9G02100293,BI Fully-integrated Microwave,1,949.00,46,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-in Microwave
SD5333D,ABERDEEN,EI24MO45IB,9G02100301,BI Fully-integrated Microwave,1,949.00,46,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-in Microwave
SD5333D,ABERDEEN,EI24MO45IB,9G02100383,BI Fully-integrated Microwave,1,949.00,46,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-in Microwave
SD5333D,ABERDEEN,EI24MO45IB,9G02100386,BI Fully-integrated Microwave,1,949.00,46,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-in Microwave
SD5333D,ABERDEEN,EI33AF80WS,BB50407040,Built-in Upright Freezer,1,3339.00,260,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Freezer
SD5333D,ABERDEEN,ELFE7337AW,4D51614660,">=27"" FL Electric Vented Dryer",1,999.00,140,SCRATCH_DENT,MAJOR_APPLIANCES_LAUNDRY,Dryer
SD5333D,ABERDEEN,ELTG7600AT,4B50403216,27 inch gas laundry tower,1,2799.00,346,SCRATCH_DENT,MAJOR_APPLIANCES_LAUNDRY,Gas Laundry Tower
SD5333D,ABERDEEN,FCFE3062AS,VF51655603,FS Cooker FC Elect Cavity/Radiant Hob,1,1199.00,169,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCFG3083AS,VF50968550,FS Cooker FC Gas Cavity/Gas Hob,1,1499.00,195,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCFG3083AS,VF51045465,FS Cooker FC Gas Cavity/Gas Hob,1,1499.00,195,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCFG3083AS,VF51592653,FS Cooker FC Gas Cavity/Gas Hob,1,1499.00,195,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCRE3083AS,VF51441942,FS Cooker RC Elect Cavity/Radiant Hob,1,1099.00,185,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCRE3083AS,VF51656968,FS Cooker RC Elect Cavity/Radiant Hob,1,1099.00,185,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCRG3062AS,VF51892773,FS Cooker RC Gas Cavity/Gas Hob,1,1049.00,195,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,FCWD3027AS,VF45150456,BI Dual Cavity Electric Oven,1,2799.00,235,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,FCWS3027AB,VF50475002,BI Electric Oven,1,1899.00,140,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,FCWS3027AB,VF51433738,BI Electric Oven,1,1899.00,140,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,FCWS3027AS,VF51262157,BI Electric Oven,1,1999.00,140,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,FDPC4314AS,TH43207418,BI Fullsize Dish Washer - Plastic,1,499.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPC4314AS,TH44607081,BI Fullsize Dish Washer - Plastic,1,499.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPC4314AS,TH51257075,BI Fullsize Dish Washer - Plastic,1,499.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPC4314AS,TH51257257,BI Fullsize Dish Washer - Plastic,1,499.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPC4314AW,TH51122078,BI Fullsize Dish Washer - Plastic,1,479.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPH4316AS,TH51613328,BI Fullsize Dish Washer - Plastic,1,529.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPH4316AS,TH51613332,BI Fullsize Dish Washer - Plastic,1,529.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDPH4316AS,TH51877154,BI Fullsize Dish Washer - Plastic,1,529.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FDSP4501AS,KH43621972,BI Fullsize Dish Washer - Stainless,1,669.00,91,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,FFCL1542AW,AA44870577,Large Chest Freezer,1,799.00,153,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Freezer
SD5333D,ABERDEEN,FFCL1542AW,AA44870798,Large Chest Freezer,1,799.00,153,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Freezer
SD5333D,ABERDEEN,FFFU13F2VW,8A50711624,Freestanding Upright Freezer,1,849.00,150,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Freezer
SD5333D,ABERDEEN,FFHT1425VV,1K51073919,Medium Top Freezer,1,829.00,138,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FFHT1835VW,BA51514286,Medium Top Freezer,1,849.00,164,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FFTR1835VS,BA51812002,Medium Top Freezer,1,849.00,164,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRFN2813AF,4A50506204,Freestanding Multidoor 3 Door ST DPTH,1,1887.00,365,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRFS2823AS,4A44519102,Freestanding Multidoor 3 Door ST DPTH,1,2699.00,365,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSC2333AS,4A50600075,Freestanding Side by Side CD,1,1599.00,325,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSC2333AS,4A50705466,Freestanding Side by Side CD,1,1599.00,325,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSG2115AV,8A43711791,Freestanding Side by Side CD,1,1099.00,255,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2323AS,4A44508421,Freestanding Side by Side ST DPTH,1,1399.00,270,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2323AS,4A45100702,Freestanding Side by Side ST DPTH,1,1399.00,270,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2623AB,4A44517302,Freestanding Side by Side ST DPTH,1,1399.00,293,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,FRSS2623AW,4A43702319,Freestanding Side by Side ST DPTH,1,1399.00,293,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,GCFG3060BF,VF50771979,FS Cooker FC Gas Cavity/Gas Hob,1,2099.00,222,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Range
SD5333D,ABERDEEN,GCWD3067AF,VF43710110,BI Dual Cavity Electric Oven,1,3599.00,280,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,GCWD3067AF,VF50754299,BI Dual Cavity Electric Oven,1,3599.00,280,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,GCWS3067AF,VF51503053,BI Electric Oven,1,2599.00,145,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Built-In Oven
SD5333D,ABERDEEN,GDPH4515AF,TH51606034,BI Fullsize Dish Washer - Plastic,1,599.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,GDPH4515AF,TH51606065,BI Fullsize Dish Washer - Plastic,1,599.00,62,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,GDSH4715AD,KH51020287,BI Fullsize Dish Washer - Stainless,1,899.00,91,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Dishwasher
SD5333D,ABERDEEN,GRFC2353AD,4A50420076,Freestanding Multidoor 3 Door CD,1,3399.00,347,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator
SD5333D,ABERDEEN,GRMS2773AF,1K50772663,Freestanding Multidoor 4 Door ST DPTH,1,3199.00,359,SCRATCH_DENT,MAJOR_APPLIANCES_KITCHEN,Refrigerator